08-20-2026 21:14:37 RAM 4076/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,9%@1497] GR3D_FREQ 0% cpu@54.656C soc2@51.531C soc0@51.875C gpu@51.062C tj@54.562C soc1@51.687C VDD_GPU_SOC 3595mW/4592mW VDD_CPU_CV 399mW/627mW VIN_SYS_5V0 4200mW/4390mW
08-20-2026 21:14:37 RAM 4142/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [9%@2201,0%@2201,0%@2201,0%@2201,0%@1958,0%@1958,0%@1958,91%@1958,0%@2035,0%@2035,0%@2035,90%@2035] GR3D_FREQ 0% cpu@54.937C soc2@51.468C soc0@51.906C gpu@51.531C tj@54.937C soc1@51.687C VDD_GPU_SOC 3993mW/4552mW VDD_CPU_CV 1198mW/665mW VIN_SYS_5V0 4407mW/4391mW
08-20-2026 21:14:37 RAM 4336/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [10%@1113,0%@1113,0%@1113,0%@1113,18%@1420,0%@1420,0%@1420,66%@1420,0%@1344,0%@1344,0%@1344,60%@1344] GR3D_FREQ 39% cpu@55.125C soc2@51.718C soc0@51.781C gpu@51.375C tj@55.125C soc1@51.781C VDD_GPU_SOC 3992mW/4517mW VDD_CPU_CV 1597mW/723mW VIN_SYS_5V0 4707mW/4411mW
08-20-2026 21:14:37 RAM 4336/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [10%@2201,50%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,9%@729,0%@729,0%@729,0%@729] GR3D_FREQ 83% cpu@55.312C soc2@51.968C soc0@51.906C gpu@51.375C tj@55.312C soc1@51.656C VDD_GPU_SOC 4389mW/4509mW VDD_CPU_CV 2394mW/822mW VIN_SYS_5V0 5308mW/4464mW
08-20-2026 21:14:37 RAM 4336/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [9%@729,45%@729,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,40%@729,0%@729,0%@729,0%@729] GR3D_FREQ 83% cpu@54.937C soc2@51.906C soc0@51.937C gpu@51.25C tj@55.031C soc1@51.718C VDD_GPU_SOC 4784mW/4524mW VDD_CPU_CV 2792mW/931mW VIN_SYS_5V0 5909mW/4544mW
08-20-2026 21:14:37 RAM 4336/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [10%@729,40%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,40%@729,0%@729,0%@729,0%@729] GR3D_FREQ 83% cpu@55.156C soc2@51.968C soc0@51.812C gpu@51.281C tj@55.156C soc1@51.937C VDD_GPU_SOC 5181mW/4559mW VDD_CPU_CV 3189mW/1050mW VIN_SYS_5V0 6310mW/4637mW
08-20-2026 21:14:38 RAM 4336/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [18%@729,40%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,18%@729,11%@729,0%@729,0%@729] GR3D_FREQ 83% cpu@55.187C soc2@52.093C soc0@51.843C gpu@51.25C tj@55.187C soc1@51.781C VDD_GPU_SOC 5579mW/4610mW VDD_CPU_CV 3587mW/1177mW VIN_SYS_5V0 6621mW/4736mW
08-20-2026 21:14:38 RAM 4336/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [9%@729,50%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,40%@729,0%@729,0%@729] GR3D_FREQ 83% cpu@55.156C soc2@52.031C soc0@51.875C gpu@51.625C tj@55.218C soc1@51.718C VDD_GPU_SOC 5577mW/4656mW VDD_CPU_CV 3585mW/1291mW VIN_SYS_5V0 6821mW/4835mW
08-20-2026 21:14:38 RAM 4336/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [10%@729,36%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,45%@729,0%@729,0%@729] GR3D_FREQ 83% cpu@55.062C soc2@52.062C soc0@51.781C gpu@51.468C tj@55.25C soc1@51.843C VDD_GPU_SOC 5976mW/4716mW VDD_CPU_CV 3984mW/1414mW VIN_SYS_5V0 7022mW/4935mW
08-20-2026 21:14:38 RAM 4336/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [18%@729,40%@729,0%@729,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,40%@729,0%@729,0%@729] GR3D_FREQ 83% cpu@55.031C soc2@52.125C soc0@51.875C gpu@51.687C tj@55.031C soc1@51.718C VDD_GPU_SOC 5973mW/4771mW VDD_CPU_CV 3982mW/1525mW VIN_SYS_5V0 7223mW/5034mW
08-20-2026 21:14:38 RAM 4337/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [10%@729,45%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,40%@729,0%@729,0%@729] GR3D_FREQ 75% cpu@54.968C soc2@52.062C soc0@51.968C gpu@51.5C tj@55.281C soc1@51.875C VDD_GPU_SOC 5973mW/4821mW VDD_CPU_CV 3982mW/1628mW VIN_SYS_5V0 7323mW/5130mW
08-20-2026 21:14:38 RAM 4337/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [9%@729,45%@729,0%@2201,0%@2201,0%@729,0%@729,9%@729,0%@729,0%@729,40%@729,0%@729,0%@729] GR3D_FREQ 75% cpu@55.312C soc2@52.093C soc0@51.843C gpu@51.375C tj@55.5C soc1@51.812C VDD_GPU_SOC 6369mW/4883mW VDD_CPU_CV 4380mW/1738mW VIN_SYS_5V0 7423mW/5221mW
