08-20-2026 21:15:02 RAM 4068/62841MB (lfb 87x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@1497,0%@1497,9%@1497,0%@1497,10%@1497,0%@1497,0%@1497,0%@1497,0%@1420,0%@1420,0%@1420,0%@1420] GR3D_FREQ 0% cpu@54.875C soc2@51.5C soc0@51.875C gpu@51.093C tj@54.562C soc1@51.75C VDD_GPU_SOC 3595mW/3765mW VDD_CPU_CV 399mW/827mW VIN_SYS_5V0 4200mW/4411mW
08-20-2026 21:15:02 RAM 4153/62841MB (lfb 87x4MB) SWAP 0/31421MB (cached 0MB) CPU [10%@2201,0%@2201,0%@2201,91%@2201,10%@1958,0%@1958,0%@1958,80%@1958,9%@1804,0%@1804,0%@1804,80%@1804] GR3D_FREQ 94% cpu@55.218C soc2@51.468C soc0@52C gpu@51.125C tj@55.218C soc1@51.812C VDD_GPU_SOC 3993mW/3781mW VDD_CPU_CV 1198mW/852mW VIN_SYS_5V0 4407mW/4411mW
08-20-2026 21:15:03 RAM 4413/62841MB (lfb 87x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,70%@2201,18%@1958,9%@1958,0%@1958,70%@1958,0%@1728,0%@1728,0%@1728,63%@1728] GR3D_FREQ 59% cpu@55.531C soc2@51.625C soc0@51.843C gpu@51.312C tj@55.531C soc1@51.906C VDD_GPU_SOC 3992mW/3794mW VDD_CPU_CV 1996mW/923mW VIN_SYS_5V0 4707mW/4429mW
08-20-2026 21:15:03 RAM 4413/62841MB (lfb 87x4MB) SWAP 0/31421MB (cached 0MB) CPU [10%@2201,0%@2201,18%@2201,0%@2201,63%@883,9%@883,0%@883,0%@883,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 96% cpu@55.375C soc2@51.875C soc0@52.125C gpu@52.625C tj@55.375C soc1@51.812C VDD_GPU_SOC 6379mW/3946mW VDD_CPU_CV 1994mW/986mW VIN_SYS_5V0 5208mW/4475mW
08-20-2026 21:15:03 RAM 4414/62841MB (lfb 87x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,0%@2201,10%@2201,0%@2201,30%@1036,63%@1036,0%@1036,0%@1036,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 96% cpu@54.906C soc2@52.125C soc0@52.375C gpu@53.375C tj@54.906C soc1@51.812C VDD_GPU_SOC 9557mW/4258mW VDD_CPU_CV 2389mW/1064mW VIN_SYS_5V0 5709mW/4544mW
08-20-2026 21:15:03 RAM 4414/62841MB (lfb 87x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,0%@2201,18%@2201,0%@2201,0%@1036,81%@1036,0%@1036,10%@1036,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 96% cpu@55.031C soc2@52.218C soc0@52.468C gpu@53.562C tj@55.187C soc1@51.906C VDD_GPU_SOC 11932mW/4661mW VDD_CPU_CV 2387mW/1134mW VIN_SYS_5V0 6109mW/4626mW
08-20-2026 21:15:03 RAM 4415/62841MB (lfb 87x4MB) SWAP 0/31421MB (cached 0MB) CPU [9%@2201,0%@2201,20%@2201,0%@2201,0%@1036,80%@1036,0%@1036,18%@1036,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 96% cpu@55.343C soc2@52.343C soc0@52.531C gpu@53.687C tj@55.343C soc1@51.812C VDD_GPU_SOC 13910mW/5124mW VDD_CPU_CV 2385mW/1196mW VIN_SYS_5V0 6410mW/4715mW
08-20-2026 21:15:03 RAM 4415/62841MB (lfb 87x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,8%@2201,10%@2201,0%@2201,0%@1113,72%@1113,0%@1113,25%@1113,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 96% cpu@55.468C soc2@52.312C soc0@52.562C gpu@54.125C tj@55.468C soc1@51.937C VDD_GPU_SOC 15090mW/5598mW VDD_CPU_CV 2383mW/1253mW VIN_SYS_5V0 6610mW/4805mW
08-20-2026 21:15:03 RAM 4415/62841MB (lfb 87x4MB) SWAP 0/31421MB (cached 0MB) CPU [16%@2201,0%@2201,18%@2201,0%@2201,9%@1036,77%@1036,0%@1036,0%@1036,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 96% cpu@55.312C soc2@52.437C soc0@52.718C gpu@54.125C tj@55.312C soc1@51.968C VDD_GPU_SOC 16275mW/6084mW VDD_CPU_CV 2779mW/1322mW VIN_SYS_5V0 6821mW/4897mW
08-20-2026 21:15:03 RAM 4415/62841MB (lfb 87x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,9%@2201,10%@2201,0%@2201,0%@1113,72%@1113,0%@1113,18%@1113,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 96% cpu@55.437C soc2@52.468C soc0@52.562C gpu@54.062C tj@55.437C soc1@51.906C VDD_GPU_SOC 17062mW/6561mW VDD_CPU_CV 2778mW/1385mW VIN_SYS_5V0 7022mW/4989mW
08-20-2026 21:15:03 RAM 4415/62841MB (lfb 87x4MB) SWAP 0/31421MB (cached 0MB) CPU [9%@1113,54%@1113,10%@1113,0%@1113,0%@729,18%@729,0%@729,10%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 96% cpu@55.281C soc2@52.593C soc0@52.718C gpu@54.062C tj@55.281C soc1@51.968C VDD_GPU_SOC 17848mW/7031mW VDD_CPU_CV 2777mW/1443mW VIN_SYS_5V0 7122mW/5078mW
08-20-2026 21:15:03 RAM 4415/62841MB (lfb 87x4MB) SWAP 0/31421MB (cached 0MB) CPU [10%@1113,72%@1113,16%@1113,0%@1113,0%@729,0%@729,0%@729,18%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 96% cpu@55.343C soc2@52.562C soc0@52.781C gpu@54.031C tj@55.343C soc1@52C VDD_GPU_SOC 18245mW/7480mW VDD_CPU_CV 2776mW/1497mW VIN_SYS_5V0 7223mW/5164mW
08-20-2026 21:15:04 RAM 4415/62841MB (lfb 87x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,36%@2201,10%@2201,0%@2201,20%@1113,18%@1113,0%@1113,10%@1113,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 96% cpu@55.437C soc2@52.656C soc0@52.75C gpu@54.5C tj@55.437C soc1@51.937C VDD_GPU_SOC 19031mW/7924mW VDD_CPU_CV 2776mW/1546mW VIN_SYS_5V0 7323mW/5247mW
08-20-2026 21:15:04 RAM 4415/62841MB (lfb 87x4MB) SWAP 0/31421MB (cached 0MB) CPU [9%@2201,0%@2201,18%@2201,0%@2201,0%@729,18%@729,0%@729,18%@729,10%@1113,45%@1113,0%@1113,0%@1113] GR3D_FREQ 96% cpu@55.437C soc2@52.625C soc0@52.843C gpu@54.312C tj@55.437C soc1@51.968C VDD_GPU_SOC 19031mW/8336mW VDD_CPU_CV 2775mW/1591mW VIN_SYS_5V0 7323mW/5324mW
08-20-2026 21:15:04 RAM 4415/62841MB (lfb 87x4MB) SWAP 0/31421MB (cached 0MB) CPU [9%@2201,0%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,18%@729,0%@1036,81%@1036,0%@1036,0%@1036] GR3D_FREQ 96% cpu@55.437C soc2@52.531C soc0@52.906C gpu@54.406C tj@55.437C soc1@52.062C VDD_GPU_SOC 19427mW/8732mW VDD_CPU_CV 2775mW/1634mW VIN_SYS_5V0 7423mW/5399mW
08-20-2026 21:15:04 RAM 4415/62841MB (lfb 87x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,18%@729,0%@729,0%@729,0%@729,0%@729,18%@729,0%@1113,80%@1113,0%@1113,8%@1113] GR3D_FREQ 96% cpu@55.531C soc2@52.593C soc0@52.781C gpu@54.187C tj@55.531C soc1@52.031C VDD_GPU_SOC 19824mW/9114mW VDD_CPU_CV 2775mW/1673mW VIN_SYS_5V0 7423mW/5469mW
08-20-2026 21:15:04 RAM 4415/62841MB (lfb 87x4MB) SWAP 0/31421MB (cached 0MB) CPU [16%@729,0%@729,18%@729,8%@729,0%@729,0%@729,0%@729,10%@729,0%@1113,70%@1113,0%@1113,0%@1113] GR3D_FREQ 96% cpu@55.718C soc2@52.687C soc0@52.843C gpu@54.062C tj@55.718C soc1@52.031C VDD_GPU_SOC 19816mW/9471mW VDD_CPU_CV 2775mW/1710mW VIN_SYS_5V0 7423mW/5534mW
08-20-2026 21:15:04 RAM 4415/62841MB (lfb 87x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,0%@2201,10%@2201,0%@2201,0%@729,16%@729,0%@729,0%@729,16%@1113,75%@1113,0%@1113,0%@1113] GR3D_FREQ 96% cpu@55.406C soc2@52.687C soc0@53C gpu@54.625C tj@55.5C soc1@52.031C VDD_GPU_SOC 19816mW/9805mW VDD_CPU_CV 2775mW/1744mW VIN_SYS_5V0 7423mW/5595mW
08-20-2026 21:15:04 RAM 4415/62841MB (lfb 87x4MB) SWAP 0/31421MB (cached 0MB) CPU [9%@2201,0%@2201,10%@2201,0%@2201,0%@729,10%@729,0%@729,0%@729,0%@1113,80%@1113,0%@1113,0%@1113] GR3D_FREQ 96% cpu@55.531C soc2@52.687C soc0@52.843C gpu@54.375C tj@55.531C soc1@51.968C VDD_GPU_SOC 19816mW/10117mW VDD_CPU_CV 2775mW/1776mW VIN_SYS_5V0 7524mW/5655mW
08-20-2026 21:15:04 RAM 4415/62841MB (lfb 87x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,0%@2201,10%@2201,9%@2201,0%@729,10%@729,0%@729,0%@729,0%@1113,72%@1113,0%@1113,0%@1113] GR3D_FREQ 96% cpu@55.625C soc2@52.718C soc0@52.843C gpu@54.468C tj@55.625C soc1@52.031C VDD_GPU_SOC 20212mW/10423mW VDD_CPU_CV 2775mW/1807mW VIN_SYS_5V0 7524mW/5712mW
08-20-2026 21:15:04 RAM 4415/62841MB (lfb 87x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,0%@2201,25%@2201,0%@2201,0%@729,18%@729,0%@729,0%@729,0%@1113,70%@1113,0%@1113,0%@1113] GR3D_FREQ 96% cpu@55.531C soc2@52.687C soc0@52.937C gpu@54.437C tj@55.531C soc1@52.156C VDD_GPU_SOC 20212mW/10711mW VDD_CPU_CV 2775mW/1835mW VIN_SYS_5V0 7524mW/5765mW
08-20-2026 21:15:05 RAM 4415/62841MB (lfb 87x4MB) SWAP 0/31421MB (cached 0MB) CPU [9%@729,0%@729,10%@729,0%@729,0%@729,10%@729,0%@729,0%@729,10%@1113,10%@1113,50%@1113,0%@1113] GR3D_FREQ 96% cpu@55.562C soc2@52.75C soc0@52.906C gpu@54.406C tj@55.562C soc1@52.218C VDD_GPU_SOC 20212mW/10983mW VDD_CPU_CV 2775mW/1862mW VIN_SYS_5V0 7524mW/5815mW
08-20-2026 21:15:05 RAM 4415/62841MB (lfb 87x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,9%@729,0%@729,10%@729,0%@729,0%@729,0%@1113,0%@1113,72%@1113,0%@1113] GR3D_FREQ 96% cpu@55.5C soc2@52.75C soc0@52.875C gpu@54.437C tj@55.468C soc1@52.062C VDD_GPU_SOC 20204mW/11239mW VDD_CPU_CV 2775mW/1887mW VIN_SYS_5V0 7524mW/5863mW
08-20-2026 21:15:05 RAM 4415/62841MB (lfb 87x4MB) SWAP 0/31421MB (cached 0MB) CPU [9%@2201,0%@2201,18%@2201,0%@2201,0%@729,25%@729,0%@729,0%@729,0%@1036,0%@1036,72%@1036,0%@1036] GR3D_FREQ 96% cpu@55.5C soc2@52.687C soc0@52.968C gpu@54.812C tj@55.5C soc1@52.093C VDD_GPU_SOC 20212mW/11481mW VDD_CPU_CV 2774mW/1911mW VIN_SYS_5V0 7524mW/5908mW
08-20-2026 21:15:05 RAM 4415/62841MB (lfb 87x4MB) SWAP 0/31421MB (cached 0MB) CPU [9%@2201,0%@2201,18%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,9%@1113,0%@1113,77%@1113,0%@1113] GR3D_FREQ 96% cpu@55.531C soc2@52.75C soc0@52.937C gpu@54.562C tj@55.718C soc1@52.25C VDD_GPU_SOC 20212mW/11711mW VDD_CPU_CV 2774mW/1934mW VIN_SYS_5V0 7524mW/5950mW
