08-20-2026 21:13:21 RAM 4083/62841MB (lfb 89x4MB) SWAP 0/31421MB (cached 0MB) CPU [8%@2201,0%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@1420,0%@1420,0%@1420,9%@1420] GR3D_FREQ 0% cpu@52.781C soc2@49.781C soc0@50.156C gpu@49.593C tj@52.781C soc1@49.843C VDD_GPU_SOC 3597mW/4622mW VDD_CPU_CV 399mW/485mW VIN_SYS_5V0 4200mW/4294mW
08-20-2026 21:13:21 RAM 4153/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,9%@2201,0%@2201,0%@2201,91%@2201] GR3D_FREQ 0% cpu@53.156C soc2@49.75C soc0@50.062C gpu@49.75C tj@53.156C soc1@49.937C VDD_GPU_SOC 3995mW/4580mW VDD_CPU_CV 799mW/505mW VIN_SYS_5V0 4300mW/4294mW
08-20-2026 21:13:21 RAM 4210/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,8%@1036,8%@1036,0%@1036,27%@1036,0%@1036,0%@1036,0%@1036,45%@1036] GR3D_FREQ 15% cpu@53.281C soc2@50.25C soc0@50.125C gpu@49.718C tj@53.281C soc1@49.718C VDD_GPU_SOC 3995mW/4543mW VDD_CPU_CV 1198mW/549mW VIN_SYS_5V0 4607mW/4314mW
08-20-2026 21:13:21 RAM 4210/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [10%@729,0%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,58%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 15% cpu@53.218C soc2@50.312C soc0@50.093C gpu@49.593C tj@53.218C soc1@49.75C VDD_GPU_SOC 4392mW/4534mW VDD_CPU_CV 1597mW/610mW VIN_SYS_5V0 5108mW/4361mW
08-20-2026 21:13:21 RAM 4210/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [16%@2201,0%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,55%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 15% cpu@53.187C soc2@50.375C soc0@50.031C gpu@49.562C tj@53.187C soc1@49.687C VDD_GPU_SOC 4790mW/4549mW VDD_CPU_CV 1996mW/687mW VIN_SYS_5V0 5408mW/4419mW
08-20-2026 21:13:21 RAM 4210/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [9%@2201,0%@2201,0%@2201,0%@2201,0%@729,8%@729,0%@729,63%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 15% cpu@53.031C soc2@50.406C soc0@50.125C gpu@49.531C tj@53.031C soc1@49.812C VDD_GPU_SOC 4788mW/4561mW VDD_CPU_CV 1995mW/756mW VIN_SYS_5V0 5709mW/4487mW
08-20-2026 21:13:22 RAM 4210/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [9%@2201,0%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,54%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 15% cpu@53.062C soc2@50.343C soc0@50.218C gpu@49.593C tj@53.062C soc1@49.937C VDD_GPU_SOC 4788mW/4572mW VDD_CPU_CV 2394mW/838mW VIN_SYS_5V0 5909mW/4558mW
08-20-2026 21:13:22 RAM 4210/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,55%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 15% cpu@53.343C soc2@50.375C soc0@50.062C gpu@49.531C tj@53.343C soc1@49.75C VDD_GPU_SOC 5185mW/4602mW VDD_CPU_CV 2393mW/912mW VIN_SYS_5V0 6109mW/4632mW
08-20-2026 21:13:22 RAM 4210/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [9%@729,0%@2201,0%@2201,0%@2201,0%@729,9%@729,0%@729,60%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 15% cpu@53.406C soc2@50.343C soc0@49.968C gpu@49.531C tj@53.406C soc1@49.875C VDD_GPU_SOC 5185mW/4628mW VDD_CPU_CV 2393mW/979mW VIN_SYS_5V0 6209mW/4703mW
08-20-2026 21:13:22 RAM 4210/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [9%@2201,0%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,50%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 16% cpu@53.125C soc2@50.437C soc0@50.031C gpu@49.656C tj@53.125C soc1@49.843C VDD_GPU_SOC 5185mW/4652mW VDD_CPU_CV 2792mW/1058mW VIN_SYS_5V0 6310mW/4773mW
