08-20-2026 21:12:55 RAM 4081/62841MB (lfb 89x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@50.75C soc2@47.75C soc0@47.875C tj@50.75C soc1@47.437C VDD_GPU_SOC 3197mW/3197mW VDD_CPU_CV 399mW/570mW VIN_SYS_5V0 4000mW/4093mW
08-20-2026 21:12:56 RAM 4081/62841MB (lfb 89x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,16%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@50.625C soc2@47.812C soc0@47.875C tj@50.625C soc1@47.562C VDD_GPU_SOC 3995mW/3250mW VDD_CPU_CV 399mW/559mW VIN_SYS_5V0 4100mW/4093mW
08-20-2026 21:12:56 RAM 4114/62841MB (lfb 89x4MB) SWAP 0/31421MB (cached 0MB) CPU [10%@729,8%@729,0%@729,0%@729,9%@1113,0%@1113,0%@1113,100%@1113,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 1% cpu@51.093C soc2@47.812C soc0@47.937C tj@51.093C soc1@47.5C VDD_GPU_SOC 3995mW/3297mW VDD_CPU_CV 799mW/574mW VIN_SYS_5V0 4200mW/4100mW
08-20-2026 21:12:56 RAM 4170/62841MB (lfb 89x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@883,0%@883,0%@883,0%@883,10%@1344,0%@1344,0%@1344,72%@1344,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 66% cpu@50.812C soc2@47.812C soc0@47.968C tj@50.812C soc1@47.5C VDD_GPU_SOC 3995mW/3338mW VDD_CPU_CV 799mW/587mW VIN_SYS_5V0 4300mW/4112mW
08-20-2026 21:12:56 RAM 4170/62841MB (lfb 89x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@1190,0%@1190,0%@1190,60%@1190,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 96% cpu@50.718C soc2@47.937C soc0@48.156C tj@50.718C soc1@47.562C VDD_GPU_SOC 5985mW/3485mW VDD_CPU_CV 798mW/599mW VIN_SYS_5V0 4707mW/4145mW
08-20-2026 21:12:56 RAM 4171/62841MB (lfb 89x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@1344,0%@1344,0%@1344,83%@1344,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 95% cpu@51.031C soc2@48.218C soc0@48.25C tj@51.031C soc1@47.5C VDD_GPU_SOC 9565mW/3805mW VDD_CPU_CV 797mW/609mW VIN_SYS_5V0 5108mW/4196mW
08-20-2026 21:12:56 RAM 4171/62841MB (lfb 89x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,0%@1420,0%@1420,0%@1420,77%@1420,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 95% cpu@51.25C soc2@48.375C soc0@48.562C tj@51.25C soc1@47.562C VDD_GPU_SOC 12340mW/4232mW VDD_CPU_CV 796mW/619mW VIN_SYS_5V0 5408mW/4256mW
08-20-2026 21:12:56 RAM 4171/62841MB (lfb 89x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,8%@729,0%@729,0%@729,0%@1420,0%@1420,0%@1420,72%@1420,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 95% cpu@50.968C soc2@48.5C soc0@48.687C tj@51.093C soc1@47.593C VDD_GPU_SOC 14319mW/4712mW VDD_CPU_CV 795mW/627mW VIN_SYS_5V0 5709mW/4325mW
08-20-2026 21:12:56 RAM 4171/62841MB (lfb 89x4MB) SWAP 0/31421MB (cached 0MB) CPU [15%@2201,0%@2201,0%@2201,0%@2201,0%@1420,0%@1420,0%@1420,80%@1420,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 95% cpu@51.187C soc2@48.625C soc0@48.593C tj@51.187C soc1@47.562C VDD_GPU_SOC 16295mW/5238mW VDD_CPU_CV 795mW/635mW VIN_SYS_5V0 5909mW/4397mW
08-20-2026 21:12:56 RAM 4171/62841MB (lfb 89x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,0%@1420,0%@1420,0%@1420,72%@1420,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 95% cpu@51.406C soc2@48.687C soc0@48.593C tj@51.406C soc1@47.625C VDD_GPU_SOC 17480mW/5771mW VDD_CPU_CV 1191mW/659mW VIN_SYS_5V0 6009mW/4467mW
08-20-2026 21:12:56 RAM 4171/62841MB (lfb 89x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,0%@1420,0%@1420,0%@1420,77%@1420,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 95% cpu@51.375C soc2@48.656C soc0@48.906C tj@51.375C soc1@47.687C VDD_GPU_SOC 18267mW/6291mW VDD_CPU_CV 1191mW/681mW VIN_SYS_5V0 6109mW/4536mW
08-20-2026 21:12:57 RAM 4171/62841MB (lfb 89x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,0%@1420,0%@1420,0%@1420,75%@1420,0%@729,0%@729,9%@729,0%@729] GR3D_FREQ 95% cpu@51.25C soc2@48.656C soc0@48.718C tj@51.25C soc1@47.875C VDD_GPU_SOC 19054mW/6802mW VDD_CPU_CV 1190mW/701mW VIN_SYS_5V0 6209mW/4603mW
08-20-2026 21:12:57 RAM 4171/62841MB (lfb 89x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,9%@729,0%@729,0%@729,0%@1420,0%@1420,0%@1420,81%@1420,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 95% cpu@51.312C soc2@48.75C soc0@48.875C tj@51.312C soc1@47.812C VDD_GPU_SOC 19840mW/7303mW VDD_CPU_CV 1190mW/720mW VIN_SYS_5V0 6310mW/4668mW
08-20-2026 21:12:57 RAM 4171/62841MB (lfb 89x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,0%@1420,0%@1420,0%@1420,77%@1420,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 95% cpu@51.312C soc2@48.781C soc0@48.937C tj@51.312C soc1@47.781C VDD_GPU_SOC 20236mW/7782mW VDD_CPU_CV 1190mW/738mW VIN_SYS_5V0 6310mW/4729mW
08-20-2026 21:12:57 RAM 4171/62841MB (lfb 89x4MB) SWAP 0/31421MB (cached 0MB) CPU [8%@729,0%@729,0%@729,0%@729,0%@1420,0%@1420,0%@1420,63%@1420,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 95% cpu@51.437C soc2@48.781C soc0@48.781C tj@51.437C soc1@47.812C VDD_GPU_SOC 20633mW/8241mW VDD_CPU_CV 1190mW/754mW VIN_SYS_5V0 6410mW/4789mW
08-20-2026 21:12:57 RAM 4171/62841MB (lfb 89x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,0%@1420,0%@1420,0%@1420,80%@1420,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 95% cpu@51.718C soc2@48.843C soc0@48.875C tj@51.718C soc1@47.718C VDD_GPU_SOC 21021mW/8682mW VDD_CPU_CV 1190mW/769mW VIN_SYS_5V0 6410mW/4845mW
08-20-2026 21:12:57 RAM 4171/62841MB (lfb 89x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,0%@1420,0%@1420,0%@1420,77%@1420,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 95% cpu@51.406C soc2@48.875C soc0@48.968C tj@51.406C soc1@47.906C VDD_GPU_SOC 21021mW/9093mW VDD_CPU_CV 1190mW/783mW VIN_SYS_5V0 6410mW/4897mW
08-20-2026 21:12:57 RAM 4171/62841MB (lfb 89x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,16%@2201,0%@2201,0%@2201,0%@1420,0%@1420,0%@1420,72%@1420,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 95% cpu@51.468C soc2@48.906C soc0@49.031C tj@51.468C soc1@47.875C VDD_GPU_SOC 21418mW/9491mW VDD_CPU_CV 1190mW/796mW VIN_SYS_5V0 6510mW/4949mW
08-20-2026 21:12:57 RAM 4171/62841MB (lfb 89x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,8%@2201,0%@2201,0%@2201,0%@1420,0%@1420,0%@1420,80%@1420,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 95% cpu@51.718C soc2@48.906C soc0@48.875C tj@51.718C soc1@47.75C VDD_GPU_SOC 21418mW/9864mW VDD_CPU_CV 1189mW/808mW VIN_SYS_5V0 6510mW/4998mW
08-20-2026 21:12:57 RAM 4171/62841MB (lfb 89x4MB) SWAP 0/31421MB (cached 0MB) CPU [8%@2201,0%@2201,0%@2201,0%@2201,0%@1420,0%@1420,0%@1420,70%@1420,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 95% cpu@51.75C soc2@49C soc0@49C tj@51.75C soc1@47.843C VDD_GPU_SOC 21418mW/10214mW VDD_CPU_CV 1189mW/820mW VIN_SYS_5V0 6510mW/5044mW
08-20-2026 21:12:58 RAM 4171/62841MB (lfb 89x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,0%@1420,0%@1420,0%@1420,77%@1420,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 95% cpu@51.593C soc2@48.968C soc0@49.062C tj@51.593C soc1@47.968C VDD_GPU_SOC 21418mW/10543mW VDD_CPU_CV 1189mW/831mW VIN_SYS_5V0 6510mW/5087mW
08-20-2026 21:12:58 RAM 4171/62841MB (lfb 89x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,0%@1420,0%@1420,0%@1420,75%@1420,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 95% cpu@51.75C soc2@48.968C soc0@48.968C tj@51.75C soc1@47.937C VDD_GPU_SOC 21418mW/10854mW VDD_CPU_CV 1189mW/841mW VIN_SYS_5V0 6510mW/5128mW
08-20-2026 21:12:58 RAM 4171/62841MB (lfb 89x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,0%@1420,0%@1420,0%@1420,80%@1420,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 95% cpu@51.656C soc2@49.062C soc0@49.062C tj@51.656C soc1@47.906C VDD_GPU_SOC 21815mW/11158mW VDD_CPU_CV 1189mW/851mW VIN_SYS_5V0 6510mW/5166mW
08-20-2026 21:12:58 RAM 4171/62841MB (lfb 89x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,0%@1420,0%@1420,0%@1420,72%@1420,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 95% cpu@51.593C soc2@49.125C soc0@49.125C tj@51.593C soc1@48.031C VDD_GPU_SOC 21815mW/11446mW VDD_CPU_CV 1189mW/860mW VIN_SYS_5V0 6510mW/5202mW
08-20-2026 21:12:58 RAM 4171/62841MB (lfb 89x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@1420,0%@1420,0%@1420,77%@1420,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 95% cpu@51.75C soc2@49.156C soc0@48.968C tj@51.75C soc1@48.031C VDD_GPU_SOC 21815mW/11719mW VDD_CPU_CV 1189mW/868mW VIN_SYS_5V0 6510mW/5237mW
08-20-2026 21:12:58 RAM 4171/62841MB (lfb 89x4MB) SWAP 0/31421MB (cached 0MB) CPU [8%@729,8%@729,0%@729,0%@729,0%@1420,0%@1420,0%@1420,72%@1420,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 95% cpu@51.625C soc2@49.125C soc0@49.062C tj@51.625C soc1@47.937C VDD_GPU_SOC 21815mW/11978mW VDD_CPU_CV 1189mW/877mW VIN_SYS_5V0 6510mW/5269mW
08-20-2026 21:12:58 RAM 4171/62841MB (lfb 89x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,0%@1420,0%@1420,0%@1420,81%@1420,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 95% cpu@51.593C soc2@49.156C soc0@49.312C tj@51.593C soc1@48.031C VDD_GPU_SOC 21815mW/12224mW VDD_CPU_CV 1189mW/884mW VIN_SYS_5V0 6510mW/5300mW
08-20-2026 21:12:58 RAM 4171/62841MB (lfb 89x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,0%@1420,20%@1420,0%@1420,54%@1420,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 95% cpu@51.812C soc2@49.093C soc0@49.125C tj@51.812C soc1@48.093C VDD_GPU_SOC 21806mW/12458mW VDD_CPU_CV 1189mW/892mW VIN_SYS_5V0 6510mW/5330mW
08-20-2026 21:12:58 RAM 4171/62841MB (lfb 89x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@1420,72%@1420,0%@1420,0%@1420,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 95% cpu@52.093C soc2@49.25C soc0@49.093C tj@52.093C soc1@48.062C VDD_GPU_SOC 21806mW/12680mW VDD_CPU_CV 1189mW/899mW VIN_SYS_5V0 6610mW/5360mW
08-20-2026 21:12:58 RAM 4171/62841MB (lfb 89x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,0%@1420,80%@1420,0%@1420,0%@1420,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 95% cpu@52.187C soc2@49.312C soc0@49.187C tj@52.187C soc1@48.062C VDD_GPU_SOC 21806mW/12893mW VDD_CPU_CV 1189mW/906mW VIN_SYS_5V0 6510mW/5387mW
08-20-2026 21:12:59 RAM 4171/62841MB (lfb 89x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,9%@2201,0%@2201,0%@2201,0%@1420,70%@1420,0%@1420,0%@1420,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 95% cpu@52C soc2@49.25C soc0@49.312C tj@52C soc1@48.062C VDD_GPU_SOC 21806mW/13095mW VDD_CPU_CV 1189mW/912mW VIN_SYS_5V0 6510mW/5413mW
08-20-2026 21:12:59 RAM 4171/62841MB (lfb 89x4MB) SWAP 0/31421MB (cached 0MB) CPU [9%@729,0%@729,0%@729,0%@729,0%@1420,81%@1420,0%@1420,0%@1420,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 95% cpu@52.062C soc2@49.218C soc0@49.218C tj@52.062C soc1@48.062C VDD_GPU_SOC 21806mW/13289mW VDD_CPU_CV 1189mW/918mW VIN_SYS_5V0 6510mW/5437mW
08-20-2026 21:12:59 RAM 4171/62841MB (lfb 89x4MB) SWAP 0/31421MB (cached 0MB) CPU [16%@2201,0%@2201,0%@2201,0%@2201,0%@1420,72%@1420,0%@1420,0%@1420,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 95% cpu@52.125C soc2@49.281C soc0@49.312C tj@52.125C soc1@48.156C VDD_GPU_SOC 21806mW/13474mW VDD_CPU_CV 1189mW/924mW VIN_SYS_5V0 6510mW/5460mW
08-20-2026 21:12:59 RAM 4171/62841MB (lfb 89x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@1420,80%@1420,0%@1420,0%@1420,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 95% cpu@52.031C soc2@49.281C soc0@49.375C tj@52.031C soc1@48.156C VDD_GPU_SOC 21806mW/13651mW VDD_CPU_CV 1189mW/930mW VIN_SYS_5V0 6510mW/5483mW
08-20-2026 21:12:59 RAM 4171/62841MB (lfb 89x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@1344,72%@1344,0%@1344,0%@1344,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 95% cpu@52C soc2@49.343C soc0@49.312C tj@52C soc1@48.156C VDD_GPU_SOC 21806mW/13821mW VDD_CPU_CV 1189mW/935mW VIN_SYS_5V0 6510mW/5504mW
08-20-2026 21:12:59 RAM 4171/62841MB (lfb 89x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,0%@1344,80%@1344,0%@1344,8%@1344,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 95% cpu@52.031C soc2@49.312C soc0@49.25C tj@52.031C soc1@48.156C VDD_GPU_SOC 21806mW/13984mW VDD_CPU_CV 1189mW/940mW VIN_SYS_5V0 6610mW/5527mW
08-20-2026 21:12:59 RAM 4171/62841MB (lfb 89x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,0%@1344,77%@1344,0%@1344,0%@1344,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 95% cpu@51.968C soc2@49.281C soc0@49.5C tj@51.968C soc1@48.25C VDD_GPU_SOC 21806mW/14140mW VDD_CPU_CV 1189mW/945mW VIN_SYS_5V0 6610mW/5548mW
08-20-2026 21:12:59 RAM 4171/62841MB (lfb 89x4MB) SWAP 0/31421MB (cached 0MB) CPU [8%@2201,0%@2201,0%@2201,0%@2201,0%@1344,81%@1344,0%@1344,0%@1344,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 95% cpu@52.093C soc2@49.312C soc0@49.281C tj@52.093C soc1@48.343C VDD_GPU_SOC 21806mW/14291mW VDD_CPU_CV 1189mW/950mW VIN_SYS_5V0 6610mW/5569mW
08-20-2026 21:12:59 RAM 4171/62841MB (lfb 89x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@1344,54%@1344,0%@1344,27%@1344,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 95% cpu@52.343C soc2@49.343C soc0@49.437C tj@52.343C soc1@48.218C VDD_GPU_SOC 21806mW/14435mW VDD_CPU_CV 1189mW/955mW VIN_SYS_5V0 6510mW/5587mW
08-20-2026 21:13:00 RAM 4171/62841MB (lfb 89x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,0%@1420,0%@1420,0%@1420,81%@1420,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 95% cpu@51.906C soc2@49.406C soc0@49.5C tj@51.906C soc1@48.187C VDD_GPU_SOC 21806mW/14574mW VDD_CPU_CV 1189mW/959mW VIN_SYS_5V0 6510mW/5605mW
08-20-2026 21:13:00 RAM 4171/62841MB (lfb 89x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,0%@1420,0%@1420,0%@1420,80%@1420,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 95% cpu@51.968C soc2@49.343C soc0@49.406C tj@51.968C soc1@48.312C VDD_GPU_SOC 21806mW/14708mW VDD_CPU_CV 1189mW/963mW VIN_SYS_5V0 6510mW/5621mW
08-20-2026 21:13:00 RAM 4171/62841MB (lfb 89x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,0%@1420,0%@1420,0%@1420,70%@1420,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 95% cpu@52.156C soc2@49.468C soc0@49.437C tj@52.156C soc1@48.156C VDD_GPU_SOC 21806mW/14837mW VDD_CPU_CV 1189mW/967mW VIN_SYS_5V0 6510mW/5638mW
08-20-2026 21:13:00 RAM 4171/62841MB (lfb 89x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,0%@1420,0%@1420,0%@1420,80%@1420,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 95% cpu@52.343C soc2@49.5C soc0@49.406C tj@52.343C soc1@48.25C VDD_GPU_SOC 21806mW/14962mW VDD_CPU_CV 1189mW/971mW VIN_SYS_5V0 6510mW/5653mW
08-20-2026 21:13:00 RAM 4171/62841MB (lfb 89x4MB) SWAP 0/31421MB (cached 0MB) CPU [9%@2201,8%@2201,0%@2201,0%@2201,0%@1420,30%@1420,0%@1420,50%@1420,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 95% cpu@52.218C soc2@49.468C soc0@49.531C tj@52.218C soc1@48.281C VDD_GPU_SOC 21806mW/15082mW VDD_CPU_CV 1189mW/975mW VIN_SYS_5V0 6510mW/5668mW
08-20-2026 21:13:00 RAM 4171/62841MB (lfb 89x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,0%@1420,77%@1420,0%@1420,0%@1420,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 95% cpu@52.218C soc2@49.406C soc0@49.375C tj@52.218C soc1@48.343C VDD_GPU_SOC 21806mW/15198mW VDD_CPU_CV 1189mW/979mW VIN_SYS_5V0 6510mW/5683mW
08-20-2026 21:13:00 RAM 4171/62841MB (lfb 89x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,9%@2201,0%@2201,0%@2201,0%@1420,36%@1420,0%@1420,33%@1420,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 95% cpu@52.218C soc2@49.5C soc0@49.375C tj@52.218C soc1@48.281C VDD_GPU_SOC 21806mW/15310mW VDD_CPU_CV 1189mW/983mW VIN_SYS_5V0 6510mW/5697mW
